bucket,review_key,product_count,max_priority_score,closest_tier_boundary,identity_confidence_counts,sample_dsld_ids
external_literature_review_required,deanol,12,4.5,3.0,"{""high"":12}","[""252515"",""253610"",""253611"",""253613"",""269431"",""312421"",""312422"",""312423"",""312424"",""312890""]"
external_literature_review_required,iron,9,4.5,1.0,"{""high"":7,""low"":1,""moderate"":1}","[""40603"",""214057"",""260113"",""264830"",""264831"",""302461"",""317616"",""317650"",""317651""]"
external_literature_review_required,l norvaline,18,4.5,4.0,"{""high"":18}","[""252797"",""254618"",""254619"",""254623"",""294886"",""294887"",""294888"",""294889"",""294890"",""294891""]"
external_literature_review_required,rosemary,12,4.5,3.0,"{""high"":12}","[""252692"",""254305"",""254306"",""254307"",""312332"",""312333"",""312334"",""312335"",""330600"",""330601""]"
external_literature_review_required,watercress,12,4.5,3.0,"{""high"":8,""moderate"":4}","[""294327"",""294328"",""294329"",""294330"",""311836"",""311837"",""311838"",""311839"",""331091"",""331092""]"
evidence_exists_identity_or_linkage_failed,INGR_BEETROOT,6,4.2,0.0,"{""moderate"":6}","[""310986"",""312861"",""329919"",""329952"",""329953"",""329954""]"
external_literature_review_required,chinese rhubarb,12,4.2,0.0,"{""moderate"":12}","[""294519"",""294520"",""294521"",""294522"",""311714"",""311715"",""311716"",""311717"",""331024"",""331025""]"
external_literature_review_required,chrysin,12,4.2,1.0,"{""high"":11,""moderate"":1}","[""278372"",""311340"",""311341"",""311342"",""311343"",""311354"",""330584"",""330585"",""330586"",""330587""]"
external_literature_review_required,l threonine,11,4.125,2.0,"{""high"":11}","[""214993"",""252839"",""254816"",""254817"",""254818"",""312279"",""312280"",""312281"",""312282"",""312926""]"
external_literature_review_required,sage,11,4.125,2.0,"{""high"":11}","[""252725"",""254368"",""254369"",""254370"",""311530"",""311531"",""311532"",""311533"",""330629"",""330630""]"
external_literature_review_required,spearmint,11,4.125,3.0,"{""high"":11}","[""252866"",""254506"",""254507"",""254508"",""311631"",""311632"",""311634"",""311635"",""330848"",""330849""]"
external_literature_review_required,zeaxanthin,11,4.125,2.0,"{""high"":11}","[""252793"",""253996"",""254041"",""254052"",""311913"",""311914"",""311915"",""311916"",""331265"",""331266""]"
evidence_exists_identity_or_linkage_failed,INGR_OMEGA3,10,4.0,0.0,"{""low"":3,""moderate"":7}","[""220343"",""220662"",""223405"",""223408"",""260262"",""315318"",""315335"",""315698"",""315840"",""328645""]"
external_literature_review_required,aspartic acid,8,4.0,0.0,"{""high"":8}","[""252603"",""254047"",""254076"",""254077"",""312092"",""312093"",""312094"",""312095""]"
external_literature_review_required,goji,8,4.0,1.0,"{""high"":7,""low"":1}","[""59118"",""79493"",""294311"",""302669"",""312563"",""312564"",""312565"",""312566""]"
external_literature_review_required,goji berry,8,4.0,0.0,"{""high"":8}","[""269747"",""311897"",""311898"",""311899"",""311900"",""331251"",""331252"",""331254""]"
